freq,omega,power,mass_GeV
0.34531250,2.16966243,1.96759400e-04,2302.0833
0.34609375,2.17457116,2.24753437e-04,2307.2917
0.34687500,2.17947990,2.78717194e-04,2312.5000
0.34765625,2.18438864,3.53802797e-04,2317.7083
0.34843750,2.18929738,4.38099991e-04,2322.9167
0.34921875,2.19420612,5.16952245e-04,2328.1250
0.35000000,2.19911486,5.77710326e-04,2333.3333
0.35078125,2.20402360,6.13228791e-04,2338.5417
0.35156250,2.20893233,6.23080447e-04,2343.7500
0.35234375,2.21384107,6.12394576e-04,2348.9583
0.35312500,2.21874981,5.89060081e-04,2354.1667
0.35390625,2.22365855,5.60497818e-04,2359.3750
0.35468750,2.22856729,5.31186616e-04,2364.5833
0.35546875,2.23347603,5.01698942e-04,2369.7917
0.35625000,2.23838477,4.69371169e-04,2375.0000
0.35703125,2.24329350,4.30148299e-04,2380.2083
0.35781250,2.24820224,3.80799191e-04,2385.4167
0.35859375,2.25311098,3.20678296e-04,2390.6250
0.35937500,2.25801972,2.52471149e-04,2395.8333
0.36015625,2.26292846,1.81771340e-04,2401.0417
0.36093750,2.26783720,1.15735538e-04,2406.2500
0.36171875,2.27274594,6.13211485e-05,2411.4583
0.36250000,2.27765467,2.36688641e-05,2416.6667
0.36328125,2.28256341,5.06713084e-06,2421.8750
0.36406250,2.28747215,4.70010345e-06,2427.0833
0.36484375,2.29238089,1.91283654e-05,2432.2917
0.36562500,2.29728963,4.32617184e-05,2437.5000
0.36640625,2.30219837,7.14991473e-05,2442.7083
0.36718750,2.30710710,9.87350592e-05,2447.9167
0.36796875,2.31201584,1.21033271e-04,2453.1250
0.36875000,2.31692458,1.35905040e-04,2458.3333
0.36953125,2.32183332,1.42249244e-04,2463.5417
0.37031250,2.32674206,1.40088925e-04,2468.7500
0.37109375,2.33165080,1.30255151e-04,2473.9583
0.37187500,2.33655954,1.14132229e-04,2479.1667
0.37265625,2.34146827,9.35088347e-05,2484.3750
0.37343750,2.34637701,7.05065150e-05,2489.5833
0.37421875,2.35128575,4.75083855e-05,2494.7917
0.37500000,2.35619449,2.70047009e-05,2500.0000
0.37578125,2.36110323,1.13105743e-05,2505.2083
0.37656250,2.36601197,2.17916129e-06,2510.4167
0.37734375,2.37092071,4.03419587e-07,2515.6250
0.37812500,2.37582944,5.54074857e-06,2520.8333
0.37890625,2.38073818,1.58862384e-05,2526.0417
0.37968750,2.38564692,2.87590859e-05,2531.2500
0.38046875,2.39055566,4.10709245e-05,2536.4583
0.38125000,2.39546440,5.00474225e-05,2541.6667
0.38203125,2.40037314,5.39115145e-05,2546.8750
0.38281250,2.40528188,5.23331763e-05,2552.0833
0.38359375,2.41019061,4.65109131e-05,2557.2917
0.38437500,2.41509935,3.88554251e-05,2562.5000
0.38515625,2.42000809,3.23614634e-05,2567.7083
0.38593750,2.42491683,2.98417588e-05,2572.9167
0.38671875,2.42982557,3.32297613e-05,2578.1250
0.38750000,2.43473431,4.31281838e-05,2583.3333
0.38828125,2.43964305,5.87015999e-05,2588.5417
0.38906250,2.44455178,7.79118747e-05,2593.7500
0.38984375,2.44946052,9.80068649e-05,2598.9583
0.39062500,2.45436926,1.16119914e-04,2604.1667
0.39140625,2.45927800,1.29829966e-04,2609.3750
0.39218750,2.46418674,1.37564095e-04,2614.5833
0.39296875,2.46909548,1.38779702e-04,2619.7917
0.39375000,2.47400421,1.33923217e-04,2625.0000
0.39453125,2.47891295,1.24210134e-04,2630.2083
0.39531250,2.48382169,1.11299230e-04,2635.4167
0.39609375,2.48873043,9.69412527e-05,2640.6250
0.39687500,2.49363917,8.26732195e-05,2645.8333
0.39765625,2.49854791,6.96097216e-05,2651.0417
0.39843750,2.50345665,5.83572081e-05,2656.2500
0.39921875,2.50836538,4.90502051e-05,2661.4583
0.40000000,2.51327412,4.14831796e-05,2666.6667
0.40078125,2.51818286,3.52923474e-05,2671.8750
0.40156250,2.52309160,3.01326133e-05,2677.0833
0.40234375,2.52800034,2.57995469e-05,2682.2917
0.40312500,2.53290908,2.22652899e-05,2687.5000
0.40390625,2.53781782,1.96263636e-05,2692.7083
0.40468750,2.54272655,1.79918600e-05,2697.9167
0.40546875,2.54763529,1.73618584e-05,2703.1250
0.40625000,2.55254403,1.75495338e-05,2708.3333
0.40703125,2.55745277,1.81836703e-05,2713.5417
